"week","cases_C","obs","exp","O_over_E"
28,645,11,7.17245263769864,1.53364554018574
29,1035,8,9.5814729923259,0.83494469027961
30,1540,13,9.52999932450839,1.36411342302699
31,2055,13,14.2858154500247,0.909993555879062
32,2303,10,14.3403161261963,0.697334696948025
33,2593,14,13.9428736349156,1.00409717297741
34,3160,12,15.7271000702448,0.763014156863138
35,3518,14,18.0841180745582,0.774159953074851
36,3158,19,16.4312848768801,1.15633075212117
37,3215,15,17.0209168112816,0.881268627672152
38,3746,18,17.489491444693,1.02918944538333
39,3670,12,17.6569340484348,0.679619687488367
40,4530,14,18.649267619256,0.75069972107347
41,6973,23,18.8633356328343,1.21929654689308
42,9906,25,23.0220993663118,1.08591313078
43,16334,28,25.4441403685959,1.10044983223558
44,15680,28,29.764349849599,0.940722714975654
45,12433,30,27.2404688938545,1.10130262870651
46,8000,29,27.4950370834662,1.054735802391
47,5450,25,23.699786829808,1.05486180865377
48,4313,26,22.7710271321501,1.14180181021746
49,4060,25,20.5652529851847,1.21564271628509
50,4821,26,21.522676210677,1.20802820920114
51,6704,23,24.104826084003,0.954165772441055
52,6791,23,25.5178210789163,0.901330874954811
53,9554,28,25.4617703237745,1.09968787102975
54,11577,26,28.6177720371248,0.90852635090779
55,12388,29,28.2214383677373,1.02758759571776
56,10806,31,25.8096460523866,1.20110132223737
57,8905,27,25.5919327674799,1.05501996450652
58,6650,23,24.2211127626602,0.949584778592722
59,5055,23,23.5511884148412,0.976596152808412
60,5050,16,21.1497351456921,0.756510655560572
61,4260,6,19.5496855768289,0.306910306890636
62,3834,8,17.602410710901,0.454483202976605
63,3795,9,17.9118776240665,0.502459886612196
64,4338,6,19.6896468808917,0.304728674734276
65,4893,2,20.6700787834021,0.096758218532093
