"NOM","cases_averted_Jan14","lower_Jan14","upper_Jan14","cases_averted_Feb6","lower_Feb6","upper_Feb6","str_1","str_2"
"ALT PIRINEU I ARAN",108.862766123627,-27.2857142857143,464.714285714286,72.1636516217011,-6.42857142857143,281.571428571429,"109 (-27, 465)","72 (-6, 282)"
"BARCELONA CIUTAT",174.291667794975,-277.261904761905,747.838095238095,191.157178860164,-45.0690476190476,489.930952380952,"174 (-277, 748)","191 (-45, 490)"
"CAMP DE TARRAGONA",49.120621016129,-273.285714285714,691.864285714286,86.923652550251,-12.7142857142857,308.335714285714,"49 (-273, 692)","87 (-13, 308)"
"CATALUNYA CENTRAL",254.937654480773,-119.783333333333,834.216666666667,195.361890963622,-23.7833333333333,523.216666666667,"255 (-120, 834)","195 (-24, 523)"
"GIRONA",190.012645151211,-239.142857142857,845.907142857143,117.096232407384,-90.5714285714286,431.428571428571,"190 (-239, 846)","117 (-91, 431)"
"LLEIDA",166.974462342032,-101.857142857143,521.142857142857,134.337136651901,-31.8571428571429,354.142857142857,"167 (-102, 521)","134 (-32, 354)"
"METROPOLITANA NORD",256.077220473168,-200.285714285714,852.714285714286,310.640807420994,60,640,"256 (-200, 853)","311 (60, 640)"
"METROPOLITANA SUD",279.896037705148,-114.588095238095,796.461904761905,181.752667486364,-11.5880952380952,436.461904761905,"280 (-115, 796)","182 (-12, 436)"
"TERRES DE L'EBRE",50.2629839436819,-57.7142857142857,240.335714285714,11.0879787433671,-4.57142857142857,67.4285714285714,"50 (-58, 240)","11 (-5, 67)"
