"NOM","deaths_averted_Jan14","lower_Jan14","upper_Jan14","deaths_averted_Feb6","lower_Feb6","upper_Feb6","str_1","str_2"
"ALT PIRINEU I ARAN",116.941885699087,49.2067526088606,184.677018789313,63.9623571634416,17.4975406719425,110.427173654941,"117 (49, 185)","64 (17, 110)"
"BARCELONA CIUTAT",56.1530280103851,-22.4817931424579,134.787849163228,66.8494507027626,12.8670328683944,120.831868537131,"56 (-22, 135)","67 (13, 121)"
"CAMP DE TARRAGONA",12.1220095388255,-52.4666031417102,76.7106222193611,30.6251830577037,-13.7342844507497,74.9846505661572,"12 (-52, 77)","31 (-14, 75)"
"CATALUNYA CENTRAL",36.7006482756149,-16.0745710600803,89.4758676113101,55.7084708242634,19.4685701693479,91.948371479179,"37 (-16, 89)","56 (19, 92)"
"GIRONA",43.6342330284995,-24.9827496144015,112.251215671401,58.0296815524709,10.8495701556281,105.209792949314,"44 (-25, 112)","58 (11, 105)"
"LLEIDA",19.6578591059007,-11.6570927042254,50.9728109160269,17.9161871110643,-3.65500023647705,39.4873744586057,"20 (-12, 51)","18 (-4, 39)"
"METROPOLITANA NORD",59.6193463164881,-9.09051636169855,128.329208994675,71.473013434482,24.3308702139817,118.615156654982,"60 (-9, 128)","71 (24, 119)"
"METROPOLITANA SUD",53.8300359887841,-13.3231490618974,120.983221039466,73.7976228545853,27.9147415002477,119.680504208923,"54 (-13, 121)","74 (28, 120)"
"TERRES DE L'EBRE",29.9135668116127,9.54264025733035,50.2844933658951,15.2297535657913,1.31922493618052,29.1402821954021,"30 (10, 50)","15 (1, 29)"
